"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy uzyskał mandat"
1;5;10;"Maciej Leszek BONNA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"lekarz";"Chojnice";"220201";"m. Chojnice";"nie należy do partii politycznej";"";5533;"1,46";"0,74";"Nie"
1;6;1;"Katarzyna UEBERHAN";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"filozofka";"Poznań";"306401";"m. Poznań";"członek partii politycznej: Nowa Lewica";"";15911;"46,03";"2,14";"Nie"
1;6;2;"Marek Andrzej RUTKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"nauczyciel akademicki - nauki humanistyczne";"Gdynia";"226201";"m. Gdynia";"członek partii politycznej: Nowa Lewica";"";4088;"11,83";"0,55";"Nie"
1;6;3;"Karolina HASKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"właścicielka małego sklepu";"Wejherowo";"221503";"m. Wejherowo";"członek partii politycznej: Lewica Razem";"";5252;"15,19";"0,71";"Nie"
1;6;4;"Szymon Paweł LEPPER";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"nauczyciel";"Gdynia";"226201";"m. Gdynia";"nie należy do partii politycznej";"";2411;"6,97";"0,32";"Nie"
1;6;5;"Marzena KUTWA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"ekonomista";"Słupsk";"226301";"m. Słupsk";"członek partii politycznej: Nowa Lewica";"";1348;"3,90";"0,18";"Nie"
1;6;6;"Bartosz MARKOWSKI";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"programista aplikacji";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Lewica Razem";"";1181;"3,42";"0,16";"Nie"
1;6;7;"Emanuela Bogusława BARTOSZKIEWICZ";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"technik analityki medycznej";"Słupsk";"226301";"m. Słupsk";"nie należy do partii politycznej";"";451;"1,30";"0,06";"Nie"
1;6;8;"Tymoteusz KONKOL";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"student";"Dzierżążno";"220502";"gm. Kartuzy";"członek partii politycznej: Lewica Razem";"";1024;"2,96";"0,14";"Nie"
1;6;9;"Mateusz Kamil ISKRZYŃSKI";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"fizyk";"Sopot";"226401";"m. Sopot";"członek partii politycznej: Lewica Razem";"";1201;"3,47";"0,16";"Nie"
